racer_number,racer_name,races,wins,win_rate
3963,原田 秀弥,326,57,0.1748
5038,金田 智博,326,81,0.2485
4532,秋元 哲,325,97,0.2985
4759,今泉 友吾,325,76,0.2338
4028,田村 隆信,325,85,0.2615
5238,笹木 香吾,325,81,0.2492
5121,定松 勇樹,325,94,0.2892
4966,田川 大貴,325,60,0.1846
4287,今井 貴士,325,75,0.2308
4099,吉永 則雄,325,72,0.2215
5141,大澤 風葵,325,87,0.2677
4305,金子 拓矢,324,120,0.3704
4835,橋本 明,324,27,0.0833
4179,広次 修,324,52,0.1605
5212,西川 拓利,324,62,0.1914
3527,中嶋 誠一郎,324,42,0.1296
3654,武田 光史,324,94,0.2901
4180,上野 秀和,324,56,0.1728
4146,柳橋 宏紀,324,42,0.1296
3514,山一 鉄也,324,74,0.2284
3956,横澤 剛治,324,76,0.2346
5139,大場 恒季,324,81,0.25
4528,黒井 達矢,323,98,0.3034
4939,宮之原 輝紀,323,116,0.3591
3934,鋤柄 貴俊,323,29,0.0898
4447,深川 麻奈美,323,66,0.2043
4151,下河 誉史,323,46,0.1424
5189,藤原 早菜,323,47,0.1455
4050,田口 節子,323,121,0.3746
4053,芦澤 望,323,66,0.2043
4289,落合 直子,323,75,0.2322
5275,松田 淳平,322,90,0.2795
4330,奈須 啓太,322,82,0.2547
4914,吉田 裕平,322,93,0.2888
4365,盛本 真輔,322,61,0.1894
4485,楠原 正剛,322,48,0.1491
4522,古澤 光紀,322,81,0.2516
4614,石倉 洋行,322,101,0.3137
4209,藤田 竜弘,322,49,0.1522
4012,中村 有裕,322,81,0.2516
4963,實森 美祐,322,84,0.2609
4362,土屋 智則,321,71,0.2212
5035,櫻井 優,320,53,0.1656
4253,西川 真人,320,26,0.0813
5109,川崎 智稔,320,33,0.1031
3813,佐藤 大介,320,83,0.2594
5064,品川 二千翔,320,64,0.2
3897,白井 英治,320,81,0.2531
4403,木下 大將,320,67,0.2094
3502,渡邉 英児,320,46,0.1437
3775,泉 啓文,320,20,0.0625
4702,三浦 敬太,320,97,0.3031
3574,大神 康司,320,82,0.2562
4086,寺本 重宣,320,66,0.2062
4906,鈴木 雅希,319,47,0.1473
4142,平野 和明,319,44,0.1379
4356,長岡 良也,319,70,0.2194
4463,三苫 晃幸,319,55,0.1724
3848,川上 聡介,319,36,0.1129
4161,黒柳 浩孝,319,51,0.1599
5236,小宮 涼雅,319,17,0.0533
3614,谷 勝幸,318,26,0.0818
4886,入海 馨,318,77,0.2421
5085,中村 栄治,318,41,0.1289
3627,井上 恵一,318,46,0.1447
4331,三好 勇人,318,71,0.2233
4839,四宮 与寛,318,63,0.1981
4890,石川 諒,318,53,0.1667
3930,岸本 隆,318,59,0.1855
4933,板橋 侑我,317,81,0.2555
4876,梅木 敬太,317,42,0.1325
4623,中北 将史,317,39,0.123
3327,野長瀬 正孝,317,66,0.2082
4600,井内 将太郎,316,82,0.2595
4991,宗行 治哉,316,66,0.2089
4072,森永 淳,316,111,0.3513
5205,刑部 亜里紗,316,57,0.1804
4423,坂口 貴彦,316,49,0.1551
5217,藤原 碧生,316,74,0.2342
4154,森安 弘雅,316,43,0.1361
4469,土山 卓也,316,72,0.2278
4173,岡谷 健吾,316,41,0.1297
5317,長尾 萌加,316,25,0.0791
4844,村上 奈穂,316,23,0.0728
5252,荒木 颯斗,316,65,0.2057
5166,仲道 大輔,316,69,0.2184
4573,佐藤 翼,315,79,0.2508
3922,菅沼 佳昭,315,20,0.0635
4709,岡村 将也,315,52,0.1651
3349,吉田 一郎,315,73,0.2317
4068,幸田 智裕,315,29,0.0921
4240,今井 裕梨,315,65,0.2063
4345,西舘 健,315,54,0.1714
4598,加藤 政彦,315,70,0.2222
3900,香川 素子,315,67,0.2127
5004,河野 主樹,314,49,0.1561
4902,山川 雄大,314,41,0.1306
4458,抹香 雄三,314,44,0.1401
4513,河野 真也,314,65,0.207
5036,福田 翔吾,314,40,0.1274
4509,平見 真彦,314,56,0.1783
3854,吉川 元浩,314,79,0.2516
5177,松井 貫太,314,18,0.0573
4402,乙藤 智史,314,76,0.242
4518,大須賀 友,314,93,0.2962
5125,高井 雄基,314,66,0.2102
4684,楠原 翔太,313,56,0.1789
3814,金子 貴志,313,27,0.0863
3539,金子 順一,313,25,0.0799
4410,井上 大輔,313,46,0.147
5213,湯淺 紀香,313,51,0.1629
4111,奥田 誠,313,47,0.1502
5073,上原 健次郎,313,46,0.147
4494,河合 佑樹,312,71,0.2276
4587,木田 峰由季,312,74,0.2372
5289,佃 來紀,312,47,0.1506
4442,松竹 大輔,312,68,0.2179
4014,片岡 恵里,312,60,0.1923
4529,嶋 義信,312,62,0.1987
4395,下河 雅史,312,39,0.125
4825,倉持 莉々,311,91,0.2926
4561,藤山 翔大,311,90,0.2894
3629,浅見 昌克,311,69,0.2219
5218,山田 理央,311,74,0.2379
3968,茶谷 信次,311,53,0.1704
4383,竹田 吉行,311,47,0.1511
4444,桐生 順平,310,74,0.2387
4700,金子 和之,310,66,0.2129
4396,大田 直弥,310,32,0.1032
4380,鈴木 峻佑,310,44,0.1419
4633,森 智也,310,49,0.1581
3977,山本 兼士,310,31,0.1
4081,樋口 範政,310,35,0.1129
4861,田中 宏樹,310,41,0.1323
4974,安井 瑞紀,310,72,0.2323
4406,幸野 史明,309,37,0.1197
5032,谷口 知優,309,51,0.165
4989,石原 翼,309,69,0.2233
5012,加倉 侑征,309,46,0.1489
5276,大島 隆乃介,309,37,0.1197
4977,馬野 耀,309,63,0.2039
3362,間嶋 仁志,309,48,0.1553
3942,寺田 祥,309,75,0.2427
5130,上野 拓馬,308,23,0.0747
4840,鈴木 秀茉,308,34,0.1104
4466,南 佑典,308,55,0.1786
4957,竹之内 極,308,47,0.1526
