racer_id,is_night,races,wins,win_rate,low_sample
3790,1,54,1,0.0185,0
3792,0,188,35,0.1862,0
3792,1,88,21,0.2386,0
3793,0,190,18,0.0947,0
3793,1,47,4,0.0851,0
3796,0,267,28,0.1049,0
3796,1,29,1,0.0345,0
3797,0,240,11,0.0458,0
3797,1,69,2,0.029,0
3800,0,221,34,0.1538,0
3800,1,44,3,0.0682,0
3801,0,144,20,0.1389,0
3801,1,39,7,0.1795,0
3802,0,30,2,0.0667,0
3802,1,5,0,0.0,1
3804,0,250,30,0.12,0
3804,1,56,3,0.0536,0
3805,0,207,25,0.1208,0
3805,1,71,10,0.1408,0
3807,0,231,17,0.0736,0
3807,1,71,9,0.1268,0
3808,0,223,15,0.0673,0
3808,1,36,2,0.0556,0
3809,0,188,13,0.0691,0
3809,1,45,1,0.0222,0
3811,0,259,69,0.2664,0
3811,1,114,19,0.1667,0
3812,0,263,17,0.0646,0
3812,1,24,2,0.0833,0
3813,0,238,60,0.2521,0
3813,1,88,25,0.2841,0
3814,0,286,26,0.0909,0
3814,1,31,1,0.0323,0
3820,0,126,2,0.0159,0
3820,1,48,0,0.0,0
3822,0,289,73,0.2526,0
3822,1,64,25,0.3906,0
3825,0,219,17,0.0776,0
3825,1,47,11,0.234,0
3826,0,210,36,0.1714,0
3826,1,97,13,0.134,0
3827,0,194,12,0.0619,0
3827,1,92,0,0.0,0
3828,0,287,32,0.1115,0
3828,1,4,0,0.0,1
3831,0,238,30,0.1261,0
3831,1,43,5,0.1163,0
3832,0,158,11,0.0696,0
3832,1,31,0,0.0,0
3833,0,270,69,0.2556,0
3833,1,91,26,0.2857,0
3834,0,225,18,0.08,0
3834,1,36,3,0.0833,0
3837,0,233,63,0.2704,0
3837,1,98,19,0.1939,0
3838,0,215,27,0.1256,0
3838,1,55,8,0.1455,0
3839,0,266,17,0.0639,0
3839,1,35,1,0.0286,0
3841,0,298,63,0.2114,0
3841,1,62,11,0.1774,0
3842,0,212,34,0.1604,0
3842,1,53,8,0.1509,0
3843,0,234,31,0.1325,0
3843,1,72,8,0.1111,0
3845,0,151,32,0.2119,0
3845,1,72,12,0.1667,0
3848,0,232,29,0.125,0
3848,1,87,7,0.0805,0
3849,0,174,67,0.3851,0
3849,1,102,50,0.4902,0
3850,0,287,38,0.1324,0
3850,1,49,3,0.0612,0
3851,0,117,5,0.0427,0
3851,1,8,0,0.0,1
3852,0,248,35,0.1411,0
3852,1,46,3,0.0652,0
3853,0,251,49,0.1952,0
3853,1,101,16,0.1584,0
3854,0,216,61,0.2824,0
3854,1,98,18,0.1837,0
3855,0,46,0,0.0,0
3855,1,8,0,0.0,1
3857,0,211,28,0.1327,0
3857,1,50,10,0.2,0
3859,0,187,17,0.0909,0
3859,1,51,3,0.0588,0
3860,0,232,16,0.069,0
3860,1,49,2,0.0408,0
3863,0,211,19,0.09,0
3863,1,62,2,0.0323,0
3866,0,209,13,0.0622,0
3866,1,33,2,0.0606,0
3867,0,234,16,0.0684,0
3867,1,41,0,0.0,0
3868,0,253,23,0.0909,0
3868,1,26,1,0.0385,0
3869,0,221,19,0.086,0
3869,1,49,0,0.0,0
3870,0,271,30,0.1107,0
3870,1,34,3,0.0882,0
3871,0,141,19,0.1348,0
3871,1,56,0,0.0,0
3872,0,239,48,0.2008,0
