stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
23,5,4-5,1069,64,0.0599,0,0.0,0
23,5,6+,418,35,0.0837,0,0.0,0
23,6,0-1,343,1,0.0029,0,0.0,0
23,6,2-3,1213,24,0.0198,0,0.0,0
23,6,4-5,1055,25,0.0237,0,0.0,0
23,6,6+,415,5,0.012,0,0.0,0
24,1,0-1,1564,984,0.6292,936,0.5985,0
24,1,2-3,1278,748,0.5853,700,0.5477,0
24,1,4-5,284,164,0.5775,157,0.5528,0
24,1,6+,196,116,0.5918,112,0.5714,0
24,2,0-1,1564,175,0.1119,0,0.0,0
24,2,2-3,1278,177,0.1385,0,0.0,0
24,2,4-5,284,25,0.088,0,0.0,0
24,2,6+,196,26,0.1327,0,0.0,0
24,3,0-1,1564,175,0.1119,0,0.0,0
24,3,2-3,1278,146,0.1142,0,0.0,0
24,3,4-5,284,32,0.1127,0,0.0,0
24,3,6+,196,25,0.1276,0,0.0,0
24,4,0-1,1564,126,0.0806,0,0.0,0
24,4,2-3,1278,116,0.0908,0,0.0,0
24,4,4-5,284,30,0.1056,0,0.0,0
24,4,6+,196,15,0.0765,0,0.0,0
24,5,0-1,1564,80,0.0512,0,0.0,0
24,5,2-3,1278,76,0.0595,0,0.0,0
24,5,4-5,284,27,0.0951,0,0.0,0
24,5,6+,196,8,0.0408,0,0.0,0
24,6,0-1,1552,24,0.0155,0,0.0,0
24,6,2-3,1271,15,0.0118,0,0.0,0
24,6,4-5,282,6,0.0213,0,0.0,0
24,6,6+,196,4,0.0204,0,0.0,0
3,1,0-1,200,95,0.475,86,0.43,0
3,1,2-3,839,405,0.4827,377,0.4493,0
3,1,4-5,936,446,0.4765,415,0.4434,0
3,1,6+,904,393,0.4347,363,0.4015,0
3,2,0-1,200,41,0.205,0,0.0,0
3,2,2-3,839,158,0.1883,0,0.0,0
3,2,4-5,936,149,0.1592,0,0.0,0
3,2,6+,904,174,0.1925,0,0.0,0
3,3,0-1,200,24,0.12,0,0.0,0
3,3,2-3,839,114,0.1359,0,0.0,0
3,3,4-5,936,132,0.141,0,0.0,0
3,3,6+,904,132,0.146,0,0.0,0
3,4,0-1,200,22,0.11,0,0.0,0
3,4,2-3,839,89,0.1061,0,0.0,0
3,4,4-5,936,116,0.1239,0,0.0,0
3,4,6+,904,128,0.1416,0,0.0,0
3,5,0-1,200,11,0.055,0,0.0,0
3,5,2-3,839,59,0.0703,0,0.0,0
3,5,4-5,936,61,0.0652,0,0.0,0
3,5,6+,904,59,0.0653,0,0.0,0
3,6,0-1,194,7,0.0361,0,0.0,0
3,6,2-3,828,13,0.0157,0,0.0,0
3,6,4-5,917,32,0.0349,0,0.0,0
3,6,6+,880,18,0.0205,0,0.0,0
4,1,0-1,741,334,0.4507,319,0.4305,0
